Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
Flow,SwapPair,8,464,42,95734.99746,157.2003242,0.83229717,58,5,11967,11,2279
Flow,UsdcUsdtSwapPair,7,536,222,157985.9892,273.8058738,60.08432849,77,32,22569,2,712
Flow,FlowSwapPair,8,1667,556,565095.8826,330.6587962,86.3071402,208,70,70637,3,1016
Gnosis,Uniswap,8,5425,358,86043.79439,15.86060726,1.088947432,678,45,10755,15,240
Gnosis,Elk,8,66,20,2049.382097,31.05124389,1.251084184,8,3,256,3,102
Gnosis,Others,8,1306,175,253252.8547,193.9148964,100.3813721,163,22,31657,7,1447
Gnosis,SushiSwap,8,13446,1123,867958.9056,64.5514581,1.484416046,1681,140,108495,12,773
NEAR,Ref Finance,8,4725,144,15681709.09,2605.800779,421.2342196,591,18,1960214,33,108901
NEAR,Others,8,10075,1140,6158485.854,506.4960814,28.64547405,1259,143,769811,9,5402
NEAR,Jumbo,8,180,4,25169.07499,136.049054,14.53841862,23,1,3146,45,6292
Optimism,Biconomy,2,3,2,7450.141331,2483.380444,461.0669939,2,1,3725,2,3725
Optimism,Reaper Farm,6,14,7,23444.59484,1674.613917,119.6248813,2,1,3907,2,3349
Optimism,Velodrome,8,143503,24089,331663494.6,2311.195547,0.436849371,17938,3011,41457937,6,13768
Optimism,Beethoven X,1,3,1,93259.22285,31086.40762,31086.40762,3,1,93259,3,93259
Optimism,Diamond Protocol,1,1,1,11.05037108,11.05037108,11.05037108,1,1,11,1,11
Optimism,Homora V2,8,198,55,414362.7436,2092.741129,6.82985E-05,25,7,51795,4,7534
Optimism,Radioshack Swap,3,34,4,5063.536061,148.9275312,78.27902736,11,1,1688,9,1266
Optimism,Rubicon,8,4615,6,387348.5381,83.93251096,21.94411487,577,1,48419,769,64558
Optimism,Brahma,2,3,2,1074.766043,358.2553477,351.7561847,2,1,537,2,537
Optimism,Symphony Finance,2,7,1,268.6607126,38.38010179,6.99971E-06,4,1,134,7,269
Optimism,ParaSwap,8,301,227,46589.20037,154.7813966,0.09998605,38,28,5824,1,205
Optimism,SushiSwap,8,29205,12459,20284011.66,694.5390057,77.48905697,3651,1557,2535501,2,1628
Optimism,Balancer,8,356,201,911780.2652,2561.18052,64.86748381,45,25,113973,2,4536
Optimism,Dhedge,2,6,2,166.9067947,27.81779912,12.26185391,3,1,83,3,83
Optimism,Beefy Finance,8,209,150,511.9735147,2.449634041,0.058540554,26,19,64,1,3
Optimism,Perpetual Protocol,8,232,3,21467.2629,92.5313056,0.463091902,29,0,2683,77,7156
Optimism,Uniswap,8,201577,69983,37309089.64,185.0860447,29.98530802,25197,8748,4663636,3,533
Optimism,Nex,2,5,2,469.298699,93.8597398,121.0069074,3,1,235,3,235
Optimism,Iron Bank,1,1,1,299.9106223,299.9106223,299.9106223,1,1,300,1,300
Optimism,Frax Finance,6,44,36,18.06863601,0.410650818,0.122556296,7,6,3,1,1
Optimism,Defi Saver,4,8,8,1594.249663,199.2812079,61.87370054,2,2,399,1,199
Optimism,Zipswap,8,139,106,6826.605768,49.11227171,4.981969153,17,13,853,1,64
Optimism,Kyberswap,8,627,3,685213.7651,1092.84492,1199.816237,78,0,85652,209,228405
Optimism,Overnight,8,432,17,526727.0257,1219.275522,877.6026667,54,2,65841,25,30984
Optimism,Nuke Vaults,3,3,1,3.47051922,1.15683974,1.374217322,1,0,1,3,3
Optimism,Gnosis Safe,8,542,148,7253.482786,13.38280957,1.499414861,68,19,907,4,49
Optimism,Thales,8,38,1,11419.48192,300.512682,300.3388794,5,0,1427,38,11419
Optimism,Set Protocol,1,1,1,50.56309394,50.56309394,50.56309394,1,1,51,1,51
Optimism,Others,8,20875,2456,37428449.72,1792.979627,548.8716509,2609,307,4678556,8,15240
Optimism,Elk Finance,7,44,21,751.7889374,17.08611221,1.19535635,6,3,107,2,36
