Blockchain,Day,Hour,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Flow,1.Monday,20,1728,8,692,1557,20,20379.77768,11.79385282,3,1080,9.01115E-06
Algorand,1.Monday,20,60,4,31,60,13,2217.020238,36.95033729,10.88591458,384.60245,0.000217718
Optimism,1.Monday,20,192,1,149,151,31,2638.567819,12.87106253,12.55,78.5,0.13
NEAR,1.Monday,20,16,1,10,14,8,207.774569,12.98591056,0.954628483,71.64293045,0.019660373
Arbitrum,1.Monday,21,92,3,85,132,24,7689.152872,57.81317949,19.85762523,564.2625921,0.075235012
NEAR,1.Monday,21,37,2,15,32,8,385.6637949,10.42334581,0.644850859,104.5764495,0.019660373
Flow,1.Monday,21,1622,8,630,1461,20,21270.43473,13.11370822,3,1150,9.10522E-06
Ethereum,1.Monday,21,3001,7,2308,3122,318,1800424.456,400.1832531,57.9,104534.42,2.12E-10
Algorand,1.Monday,21,75,4,42,74,21,3151.730044,42.02306725,7.622317391,665.1929167,0.024188833
Avalanche,1.Monday,21,44,11,29,61,26,8939.02551,144.1778308,20.84845562,1662.395833,0.736934783
Solana,1.Monday,21,4466,7,1504,3880,320,305274.8605,68.30943399,53.99357647,5427.189388,1.39159E-05
BSC,1.Monday,21,13,6,9,15,6,6224.791667,414.9861111,289.7854167,839.25875,279.7529167
Optimism,1.Monday,21,160,1,134,121,23,2210.11,13.39460606,12.75,70.49,0.13
Polygon,1.Monday,21,342,15,154,1026,48,8917.986641,8.477173613,5.33592925,157.4192704,0.889321542
Solana,1.Monday,22,3105,6,1316,2685,281,285780.7653,91.97964765,48.74571258,55635.64916,0.000131745
Arbitrum,1.Monday,22,70,4,59,85,21,1135.995487,13.36465279,3.599995283,72.18332107,0.075235012
Flow,1.Monday,22,1375,7,522,1209,14,36743.58984,26.7226108,3.003002252,9250,0.846559366
Optimism,1.Monday,22,101,1,85,109,21,983.4689078,7.867751262,2.68,56.06,0.13
Ethereum,1.Monday,22,3073,7,2266,2957,298,2738024.484,592.3895466,37.76,642151.44,0.01
NEAR,1.Monday,22,12,2,9,12,6,230.7121539,19.22601283,3.206338426,69.71763299,0.017429408
Algorand,1.Monday,22,182,4,75,189,36,2044.127436,10.53673936,4.356543016,410.9682783,0.000762014
Avalanche,1.Monday,22,37,9,23,41,17,1924.191455,46.9314989,14.62908333,345.6453417,0.398975
BSC,1.Monday,22,7,6,6,7,6,2278.153333,325.4504762,289.7854167,559.5058333,279.7529167
Polygon,1.Monday,22,182,15,82,817,33,6339.308638,7.702683643,4.629978542,101.8595279,0.889321542
BSC,1.Monday,23,4,2,3,4,3,3077.282083,769.3205208,419.629375,1958.270417,279.7529167
Flow,1.Monday,23,1493,7,516,1331,20,18974.96825,12.70928885,3,2000,1
Arbitrum,1.Monday,23,56,2,51,57,16,2696.801289,46.49657395,17.23129415,832.7391225,0.075235012
Optimism,1.Monday,23,67,1,49,74,22,759.227976,9.98984179,2.41,62.27,0.13
NEAR,1.Monday,23,19,1,6,19,5,384.9644079,20.26128463,0.018184794,225.6978007,0.018184794
Gnosis,1.Monday,23,1,1,1,1,1,0.099987656,0.099987656,0.099987656,0.099987656,0.099987656
Algorand,1.Monday,23,54,2,40,54,26,4127.158528,76.42886164,6.651929167,1990.257207,0.024188833
Ethereum,1.Monday,23,3034,8,2124,3294,293,2274174.317,449.3527598,30.25,242743.81,0.01
Solana,1.Monday,23,4656,7,1540,4133,269,216726.8383,46.51788759,10.88324446,5983.824197,0.013174517
Polygon,1.Monday,23,203,13,120,672,38,4464.516543,6.594559148,4.629978542,83.33961375,0.889321542
Avalanche,1.Monday,23,134,8,28,133,18,2816.962571,20.71296008,6.649583333,427.4221739,0.664958333
Flow,2.Tuesday,0,1334,6,474,1170,19,19400.038,14.54275712,4,1999,1
Arbitrum,2.Tuesday,0,47,4,42,49,18,1124.380804,22.04668243,3.77768743,629.6145717,0.07765902
NEAR,2.Tuesday,0,5,1,1,5,2,41.19813713,8.239627426,10.66312952,12.9181192,2.954211293
Polygon,2.Tuesday,0,272,14,158,1102,54,65035.03453,57.860351,7.287041667,180.3542813,0.910361208
BSC,2.Tuesday,0,7,4,7,7,5,4402.391667,628.9130952,280.7125,1630.87,271.8116667
Solana,2.Tuesday,0,3517,8,1249,3170,267,177735.8569,50.49314117,14.0513827,3512.919258,0.070258385
Ethereum,2.Tuesday,0,2457,8,1905,2781,301,4609236.569,1223.258113,38.66,256892.33,0.01
Avalanche,2.Tuesday,0,43,8,36,58,17,13174.94678,215.9827341,59.75745833,701.7332229,1.389708333
Optimism,2.Tuesday,0,95,1,78,92,21,1262.841537,11.91359941,12.555,101.65,0.13
Algorand,2.Tuesday,0,80,5,49,78,20,2448.971367,30.61214209,5.53177075,393.9762027,0.02353945
Ethereum,2.Tuesday,1,2622,7,2079,2849,307,1923267.632,476.1742095,53.35,104152.3,0.04
Optimism,2.Tuesday,1,241,1,189,169,32,2691.71,10.85366936,12.7,152.42,0.3
NEAR,2.Tuesday,1,18,2,8,18,2,108.9236654,6.051314744,4.195329647,36.69582728,0.018628665
Arbitrum,2.Tuesday,1,57,3,51,67,17,626.5126048,9.350934401,1.284404929,40.12382703,0.07765902
Gnosis,2.Tuesday,1,2,1,2,2,1,0.398100864,0.199050432,0.199050432,0.298124539,0.099976325
Avalanche,2.Tuesday,1,18,5,17,21,9,1422.482266,64.65828481,58.78075,344.5086958,0.027990833
