Blockchain,Day,Hour,Blocks,Transactions,Users,Fees
Gnosis,2.Tuesday,1,2363,247143,111146,141.0999707
Ethereum,2.Tuesday,1,594,83418,36293,177664.0551
Optimism,2.Tuesday,1,21824,21824,5160,2283.201318
Axelar,2.Tuesday,1,299,1920,217,15.14886857
NEAR,2.Tuesday,1,5561,22823,2858,60.64363513
Arbitrum,2.Tuesday,1,18350,39811,6171,1580.805546
Flow,2.Tuesday,1,5258,57581,100,1.273937934
Osmosis,2.Tuesday,1,1137,4276,762,17.64444175
Algorand,2.Tuesday,1,1928,65213,3660,19.29014378
Solana,2.Tuesday,1,15391,2283571,11335,216.9312344
BSC,2.Tuesday,1,2363,247143,111146,38960.40584
Avalanche,2.Tuesday,1,3521,9664,2973,966.349775
Osmosis,2.Tuesday,2,1105,3570,656,15.18116484
Cosmos,2.Tuesday,2,933,2946,1466,92.32721299
Axelar,2.Tuesday,2,265,1329,154,13.7855234
Arbitrum,2.Tuesday,2,20018,43265,7609,1644.911028
Avalanche,2.Tuesday,2,3503,9812,2856,947.6960305
Solana,2.Tuesday,2,15408,2191399,11163,188.1089739
Algorand,2.Tuesday,2,1939,62628,3246,18.22006324
Optimism,2.Tuesday,2,31818,31818,5551,3273.32339
Gnosis,2.Tuesday,2,2339,265079,120892,159.2461083
Ethereum,2.Tuesday,2,599,89196,44827,180837.5269
BSC,2.Tuesday,2,2339,265079,120892,43952.15314
Polygon,2.Tuesday,2,3396,280123,63273,2449.219055
NEAR,2.Tuesday,2,5712,22706,2669,64.42503143
Flow,2.Tuesday,2,5218,48996,96,0.87234184
Gnosis,2.Tuesday,3,2350,286042,131401,158.4555655
Solana,2.Tuesday,3,15767,2206891,11794,175.7481836
Flow,2.Tuesday,3,5220,49317,117,0.61736245
Axelar,2.Tuesday,3,299,1792,176,15.28286439
Algorand,2.Tuesday,3,1943,71630,3453,20.43973142
Ethereum,2.Tuesday,3,598,86546,42119,172769.0405
NEAR,2.Tuesday,3,5641,21485,2502,75.47400546
Avalanche,2.Tuesday,3,3457,9100,3296,792.4986414
Polygon,2.Tuesday,3,3399,272424,55000,2636.730285
BSC,2.Tuesday,3,2350,286042,131401,43792.91252
Optimism,2.Tuesday,3,47355,47355,6558,4584.300814
Osmosis,2.Tuesday,3,1075,3104,673,11.68119846
Cosmos,2.Tuesday,3,938,2694,1324,76.65414035
Arbitrum,2.Tuesday,3,21272,47066,9054,1780.227207
Osmosis,2.Tuesday,4,1078,3297,621,13.33524364
Polygon,2.Tuesday,4,3371,246470,46843,2250.750716
Avalanche,2.Tuesday,4,3465,8957,2856,823.9335762
Arbitrum,2.Tuesday,4,20809,45531,8806,1654.671659
Axelar,2.Tuesday,4,504,3603,283,28.44038765
Cosmos,2.Tuesday,4,915,2690,1339,79.34747718
Algorand,2.Tuesday,4,1928,75207,4207,21.60201876
Ethereum,2.Tuesday,4,597,82158,37318,181312.6126
Optimism,2.Tuesday,4,37866,37866,6443,3904.997352
Solana,2.Tuesday,4,15571,2178732,11215,175.0978994
Flow,2.Tuesday,4,5196,46446,94,0.609946018
NEAR,2.Tuesday,4,5768,22961,3079,62.03537044
Gnosis,2.Tuesday,4,2283,290041,132948,171.8508624
BSC,2.Tuesday,4,2283,290041,132948,47482.24386
Flow,2.Tuesday,5,5206,38253,99,0.564641205
Solana,2.Tuesday,5,15540,1981775,10816,153.7985094
Optimism,2.Tuesday,5,44627,44627,7510,4350.375724
BSC,2.Tuesday,5,2345,280530,123786,48210.578
Axelar,2.Tuesday,5,454,4545,283,33.41724825
Avalanche,2.Tuesday,5,3425,8247,2719,723.2453648
Arbitrum,2.Tuesday,5,20450,44255,8236,1662.202454
Polygon,2.Tuesday,5,3389,240653,50218,2030.924158
Gnosis,2.Tuesday,5,2345,280530,123786,174.726154
Osmosis,2.Tuesday,5,1074,2915,638,11.48498638
Cosmos,2.Tuesday,5,939,3144,1761,86.69573889
Algorand,2.Tuesday,5,1924,68238,3557,19.47736086
NEAR,2.Tuesday,5,6023,33271,4602,67.95880085
Ethereum,2.Tuesday,5,597,78666,39917,174049.9453
Ethereum,2.Tuesday,6,595,81599,37160,188518.377
Osmosis,2.Tuesday,6,1133,4145,753,15.05637484
Arbitrum,2.Tuesday,6,22037,49175,9092,1896.557561
Gnosis,2.Tuesday,6,2298,307550,128031,182.9289714
Cosmos,2.Tuesday,6,945,3028,1448,84.69131242
Avalanche,2.Tuesday,6,3494,10881,3301,934.4069606
NEAR,2.Tuesday,6,5985,27537,4089,68.48972886
Optimism,2.Tuesday,6,46781,46781,7835,4607.550909
Algorand,2.Tuesday,6,1928,63264,2948,18.64282422
Flow,2.Tuesday,6,5194,34418,99,0.535301067
Polygon,2.Tuesday,6,3382,250841,52813,2249.77161
Solana,2.Tuesday,6,15766,2087088,11056,160.845848
Axelar,2.Tuesday,6,471,3695,321,29.55025306
BSC,2.Tuesday,6,2298,307550,128031,50451.94007
Algorand,2.Tuesday,7,1937,68488,3472,23.74746182
Polygon,2.Tuesday,7,3189,285958,60677,3442.720661
BSC,2.Tuesday,7,2363,338648,139235,60122.16223
NEAR,2.Tuesday,7,6074,32967,4753,83.034215
Cosmos,2.Tuesday,7,1004,3681,1769,107.0894729
Optimism,2.Tuesday,7,55027,55027,7893,5436.289798
Flow,2.Tuesday,7,5217,34977,102,0.625488886
Ethereum,2.Tuesday,7,597,84111,34663,183790.4221
Arbitrum,2.Tuesday,7,23952,55935,10145,2288.414095
Solana,2.Tuesday,7,15471,2320202,11734,184.0619542
Gnosis,2.Tuesday,7,2363,338648,139235,218.1807679
Avalanche,2.Tuesday,7,3478,13505,3866,1442.826638
Axelar,2.Tuesday,7,579,5161,399,33.65321258
Osmosis,2.Tuesday,7,1167,6466,893,23.54802881
Algorand,2.Tuesday,8,1933,65138,3210,20.02592132
Flow,2.Tuesday,8,5230,37300,92,0.58735704
Polygon,2.Tuesday,8,3400,269778,57882,3022.831145
Avalanche,2.Tuesday,8,3448,10179,3379,830.9105964
Axelar,2.Tuesday,8,493,3738,344,30.49313759
NEAR,2.Tuesday,8,5988,32259,5326,87.54445144
Osmosis,2.Tuesday,8,1174,5342,904,29.22512505
BSC,2.Tuesday,8,2335,332445,144294,52910.1156
Optimism,2.Tuesday,8,61992,61992,8235,6508.456596
